,Entity,Code,Date,Total confirmed cases (cases),Days since the 100th total confirmed case (days),date,entity,type,Cumulative total tests
0,Afghanistan,AFG,"Dec 31, 2019",0.0,,2019-12-31,,,
1,Afghanistan,AFG,"Jan 1, 2020",0.0,,2020-01-01,,,
2,Afghanistan,AFG,"Jan 2, 2020",0.0,,2020-01-02,,,
3,Afghanistan,AFG,"Jan 3, 2020",0.0,,2020-01-03,,,
4,Afghanistan,AFG,"Jan 4, 2020",0.0,,2020-01-04,,,
5,Afghanistan,AFG,"Jan 5, 2020",0.0,,2020-01-05,,,
6,Afghanistan,AFG,"Jan 6, 2020",0.0,,2020-01-06,,,
7,Afghanistan,AFG,"Jan 7, 2020",0.0,,2020-01-07,,,
8,Afghanistan,AFG,"Jan 8, 2020",0.0,,2020-01-08,,,
9,Afghanistan,AFG,"Jan 9, 2020",0.0,,2020-01-09,,,
10,Afghanistan,AFG,"Jan 10, 2020",0.0,,2020-01-10,,,
11,Afghanistan,AFG,"Jan 11, 2020",0.0,,2020-01-11,,,
12,Afghanistan,AFG,"Jan 12, 2020",0.0,,2020-01-12,,,
13,Afghanistan,AFG,"Jan 13, 2020",0.0,,2020-01-13,,,
14,Afghanistan,AFG,"Jan 14, 2020",0.0,,2020-01-14,,,
15,Afghanistan,AFG,"Jan 15, 2020",0.0,,2020-01-15,,,
16,Afghanistan,AFG,"Jan 16, 2020",0.0,,2020-01-16,,,
17,Afghanistan,AFG,"Jan 17, 2020",0.0,,2020-01-17,,,
18,Afghanistan,AFG,"Jan 18, 2020",0.0,,2020-01-18,,,
19,Afghanistan,AFG,"Jan 19, 2020",0.0,,2020-01-19,,,
20,Afghanistan,AFG,"Jan 20, 2020",0.0,,2020-01-20,,,
21,Afghanistan,AFG,"Jan 21, 2020",0.0,,2020-01-21,,,
22,Afghanistan,AFG,"Jan 22, 2020",0.0,,2020-01-22,,,
23,Afghanistan,AFG,"Jan 23, 2020",0.0,,2020-01-23,,,
24,Afghanistan,AFG,"Jan 24, 2020",0.0,,2020-01-24,,,
25,Afghanistan,AFG,"Jan 25, 2020",0.0,,2020-01-25,,,
26,Afghanistan,AFG,"Jan 26, 2020",0.0,,2020-01-26,,,
27,Afghanistan,AFG,"Jan 27, 2020",0.0,,2020-01-27,,,
28,Afghanistan,AFG,"Jan 28, 2020",0.0,,2020-01-28,,,
29,Afghanistan,AFG,"Jan 29, 2020",0.0,,2020-01-29,,,
30,Afghanistan,AFG,"Jan 30, 2020",0.0,,2020-01-30,,,
31,Afghanistan,AFG,"Jan 31, 2020",0.0,,2020-01-31,,,
32,Afghanistan,AFG,"Feb 1, 2020",0.0,,2020-02-01,,,
33,Afghanistan,AFG,"Feb 2, 2020",0.0,,2020-02-02,,,
34,Afghanistan,AFG,"Feb 3, 2020",0.0,,2020-02-03,,,
35,Afghanistan,AFG,"Feb 4, 2020",0.0,,2020-02-04,,,
36,Afghanistan,AFG,"Feb 5, 2020",0.0,,2020-02-05,,,
37,Afghanistan,AFG,"Feb 6, 2020",0.0,,2020-02-06,,,
38,Afghanistan,AFG,"Feb 7, 2020",0.0,,2020-02-07,,,
39,Afghanistan,AFG,"Feb 8, 2020",0.0,,2020-02-08,,,
40,Afghanistan,AFG,"Feb 9, 2020",0.0,,2020-02-09,,,
41,Afghanistan,AFG,"Feb 10, 2020",0.0,,2020-02-10,,,
42,Afghanistan,AFG,"Feb 11, 2020",0.0,,2020-02-11,,,
